breach_date	breach_is_sensitive	total_number_of_affected_accounts
2015-03-01	False	17000944
2015-03-01	True	999991
2020-03-22	False	8661578
2012-01-01	False	120901801
2016-04-19	False	4009640
2011-12-28	False	7485802
2018-02-19	False	80115532
2017-12-20	False	17706
2018-07-05	False	14867999
2011-01-01	False	11761328
2011-01-01	True	52578183
2018-07-01	False	18615202
2017-06-27	False	17979961
2015-11-01	False	23057462
2016-07-01	False	5303897
2014-11-25	False	432943
2018-11-05	False	9363740
2013-10-04	False	152445165
2015-05-21	True	3867997
2016-10-16	True	169746810
2018-05-30	True	186082
2018-04-01	False	2277507
2019-09-24	False	90478
2013-05-30	False	180468
2017-12-05	False	20648033
2016-09-27	False	6496778
2018-12-13	False	23432192
2016-07-19	False	917461
2015-11-07	False	297806
2011-10-30	False	745355
2020-10-12	False	7104998
2020-02-27	False	1431378
2016-01-01	False	10704752
2018-07-10	False	22437749
2016-12-16	False	457978969
2018-07-23	False	125929660
2017-03-25	False	371601
2020-06-22	False	32533810
2020-04-13	False	20012235
2019-01-01	False	10604307
2016-05-18	False	1531235
2019-06-19	False	157692
2015-07-19	True	30811934
2013-12-19	False	5788
2015-12-06	False	1436486
2018-08-25	False	261463
2019-08-14	False	2743539
2018-02-04	False	143717
2014-05-26	False	422959
2017-07-18	False	105059554
2008-10-24	False	846742
2013-06-01	True	112005531
2018-12-29	False	213415
2011-06-26	False	530270
2015-11-11	True	1100089
2014-02-01	False	20902
2017-05-15	False	2231256
2018-03-19	True	3204
2020-10-14	False	24500011
2014-04-03	False	36789
2014-09-01	False	1790574
2016-12-02	False	3402
2014-01-09	False	4789599
2015-05-22	False	501407
2014-05-08	False	9313136
2014-06-23	False	777387
2019-07-14	False	140029
2018-12-28	False	7633234
2017-03-01	False	995274
2018-12-07	False	575437
2020-08-14	False	2811929
2018-07-08	False	3830916
2014-11-13	False	238373
2014-03-29	False	158093
2013-04-01	True	790724
2014-10-01	False	568340
2019-12-26	False	444241
2017-10-23	False	13369666
2019-07-15	False	471167
2014-04-25	False	26596
2014-04-10	False	2628148
2019-02-20	False	23257913
2014-02-05	False	227746
2019-05-24	False	137272116
2021-03-18	True	297744
2016-11-17	False	6844490
2020-03-01	False	1173012
2016-03-01	False	1871373
2020-03-26	False	2520441
2015-07-01	False	3471969
2018-04-28	False	40485484
2020-10-05	False	444224
2020-11-04	False	226883414
2021-02-05	False	110156
2011-07-10	False	7830195
2016-07-14	False	1604957
2015-08-23	False	15074786
2016-09-04	False	5897700
2017-01-01	False	422791436
2018-01-21	False	1688176
2019-07-27	False	4007909
2017-02-22	False	599802
2017-08-03	False	478824
2019-01-07	False	772904991
2015-11-08	False	616882
2016-03-27	False	228605
