breach_date	data_class	total_number_of_affected_accounts
2015-03-01	Email addresses	18000935
2015-03-01	IP addresses	18000935
2015-03-01	Names	14936670
2015-03-01	Passwords	18000935
2015-03-01	Usernames	3064265
2015-03-01	Dates of birth	999991
2020-03-22	Email addresses	8661578
2020-03-22	IP addresses	8661578
2020-03-22	Names	8661578
2020-03-22	Passwords	8661578
2020-03-22	Phone numbers	8661578
2020-03-22	Physical addresses	8661578
2020-03-22	Usernames	8661578
2012-01-01	Email addresses	120901801
2012-01-01	Passwords	120901801
2012-01-01	Names	93338602
2012-01-01	Phone numbers	93338602
2016-04-19	Device information	4009640
2016-04-19	Email addresses	4009640
2016-04-19	IP addresses	4009640
2016-04-19	Passwords	4009640
2016-04-19	Usernames	4009640
2011-12-28	Email addresses	7485802
2011-12-28	Passwords	7485802
2011-12-28	Usernames	7485802
2018-02-19	Email addresses	80115532
2018-02-19	Passwords	80115532
2017-12-20	Email addresses	17706
2017-12-20	Passwords	17706
2017-12-20	Usernames	17706
2018-07-05	Dates of birth	14867999
2018-07-05	Email addresses	14867999
2018-07-05	Genders	14867999
2018-07-05	Geographic locations	14867999
2018-07-05	Names	14867999
2018-07-05	Passwords	14867999
2018-07-05	Usernames	14867999
2011-01-01	Email addresses	64339511
2011-01-01	Passwords	64339511
2011-01-01	Usernames	11761328
2018-07-01	Email addresses	18615202
2018-07-01	Genders	15025407
2018-07-01	Geographic locations	15025407
2018-07-01	IP addresses	18615202
2018-07-01	Names	18615202
2018-07-01	Passwords	18615202
2018-07-01	Phone numbers	3589795
2017-06-27	Email addresses	17979961
2017-06-27	Passwords	17979961
2015-11-01	Email addresses	23057462
2015-11-01	IP addresses	23057462
2015-11-01	Passwords	23057462
2015-11-01	Usernames	23057462
2016-07-01	Email addresses	5303897
2016-07-01	IP addresses	2702439
2016-07-01	Passwords	5193542
2016-07-01	Usernames	5193542
2016-07-01	Device information	110355
2016-07-01	Names	110355
2016-07-01	Phone numbers	110355
2016-07-01	Physical addresses	110355
2016-07-01	Purchases	110355
2016-07-01	Dates of birth	3160687
2014-11-25	Dates of birth	432943
2014-11-25	Email addresses	432943
2014-11-25	IP addresses	432943
2014-11-25	Passwords	432943
2014-11-25	Usernames	432943
2018-11-05	Email addresses	9363740
2018-11-05	Employers	9363740
2018-11-05	Job titles	9363740
2018-11-05	Names	9363740
2018-11-05	Phone numbers	9363740
2018-11-05	Physical addresses	9363740
2018-11-05	Social media profiles	9363740
2013-10-04	Email addresses	152445165
2013-10-04	Password hints	152445165
2013-10-04	Passwords	152445165
2013-10-04	Usernames	152445165
2015-05-21	Dates of birth	3867997
2015-05-21	Email addresses	3867997
2015-05-21	Genders	3867997
2015-05-21	Geographic locations	3867997
2015-05-21	IP addresses	3867997
2015-05-21	Races	3867997
2015-05-21	Relationship statuses	3867997
2015-05-21	Sexual orientations	3867997
2015-05-21	Spoken languages	3867997
2015-05-21	Usernames	3867997
2016-10-16	Email addresses	169746810
2016-10-16	Passwords	169746810
2016-10-16	Spoken languages	169746810
2016-10-16	Usernames	169746810
2018-05-30	Dates of birth	186082
2018-05-30	Email addresses	186082
2018-05-30	Names	186082
2018-05-30	Passwords	186082
2018-04-01	Email addresses	2277507
2018-04-01	Employers	66308
2018-04-01	Job titles	66308
2018-04-01	Names	1146278
2018-04-01	Passwords	2277507
2018-04-01	Phone numbers	66308
2018-04-01	Physical addresses	66308
2018-04-01	IP addresses	2211199
2018-04-01	Usernames	1131229
2019-09-24	Email addresses	90478
2019-09-24	IP addresses	90478
2019-09-24	Passwords	90478
2019-09-24	Usernames	90478
2013-05-30	Email addresses	180468
2013-05-30	Genders	180468
2013-05-30	Geographic locations	180468
2013-05-30	IP addresses	180468
2013-05-30	Partial dates of birth	180468
2013-05-30	Passwords	180468
2013-05-30	Usernames	180468
2013-05-30	Website activity	180468
2017-12-05	Address book contacts	20580060
2017-12-05	Apps installed on devices	20580060
2017-12-05	Cellular network names	20580060
2017-12-05	Dates of birth	20580060
2017-12-05	Device information	20580060
2017-12-05	Email addresses	20648033
2017-12-05	Genders	20580060
2017-12-05	Geographic locations	20580060
2017-12-05	IMEI numbers	20580060
2017-12-05	IMSI numbers	20580060
2017-12-05	IP addresses	20580060
2017-12-05	Names	20580060
2017-12-05	Phone numbers	20580060
2017-12-05	Profile photos	20580060
2017-12-05	Social media profiles	20580060
2017-12-05	Passwords	67973
2016-09-27	Email addresses	6496778
2016-09-27	Passwords	6496778
2018-12-13	Dates of birth	266399
2018-12-13	Education levels	266399
2018-12-13	Email addresses	23432192
2018-12-13	Genders	266399
2018-12-13	Geographic locations	266399
2018-12-13	Job applications	266399
2018-12-13	Marital statuses	266399
2018-12-13	Names	23432192
2018-12-13	Nationalities	266399
2018-12-13	Passwords	23432192
2018-12-13	Phone numbers	266399
2018-12-13	Profile photos	266399
2018-12-13	IP addresses	23165793
2018-12-13	Physical addresses	23165793
2016-07-19	Email addresses	917461
2016-07-19	Email messages	917461
2015-11-07	Email addresses	297806
2015-11-07	Passwords	297806
2011-10-30	Dates of birth	745355
2011-10-30	Email addresses	745355
2011-10-30	Homepage URLs	745355
2011-10-30	Instant messenger identities	745355
2011-10-30	IP addresses	745355
2011-10-30	Passwords	745355
2020-10-12	Dates of birth	7104998
2020-10-12	Email addresses	7104998
2020-10-12	Genders	7104998
2020-10-12	IP addresses	7104998
2020-10-12	Names	7104998
2020-10-12	Passwords	7104998
2020-10-12	Physical addresses	7104998
2020-10-12	Usernames	7104998
2020-02-27	Email addresses	1431378
2020-02-27	Passwords	1431378
